gfx\tiles\tiles1.png
46 47
00 0 00 01 100 0
01 0 01 01 100 0
02 0 02 01 100 0
03 0 03 01 100 0
04 0 04 01 100 0
05 0 05 01 100 0
06 0 06 01 100 0
07 0 07 01 100 0
08 0 08 01 100 0
09 0 09 01 100 0
10 0 10 01 100 0
11 0 11 01 100 0
12 0 12 01 100 0
13 0 13 01 100 0
14 0 14 01 100 0
15 0 15 01 100 0
16 0 16 01 100 0
17 0 17 01 100 0
18 0 18 01 100 0
19 1 19 01 100 0
20 1 20 01 100 0
21 1 21 01 100 0
22 0 22 01 100 0
23 0 23 01 100 0
24 1 24 01 100 0
25 1 25 01 100 0
26 1 26 01 100 0
27 1 27 01 100 0
28 1 28 01 100 0
29 1 29 01 100 0
30 1 30 01 100 0
31 1 31 01 100 0
32 1 32 01 100 0
33 1 33 01 100 0
34 1 34 01 100 0
35 1 35 01 100 0
36 0 36 01 100 0
37 0 37 01 100 0
38 0 38 01 100 0
39 0 39 01 100 0
40 0 40 01 100 0
41 0 41 01 100 0
42 0 42 02 800 1
43 0 44 01 100 0
44 1 45 01 100 0
45 1 46 01 100 0
